,Gender,Age,Relationship status,Highest Educational Qualification,Field of Education,Years of working experience,Years within current field of employment,Employee code/number,Job type,Job Location,Seniority Level,Salary,avg Hours worked per week,Value of benefits/allowance provided,Performance Rating,Training/upskilling opportunities provided,Unpaid Overtime hours per week,Employee department,Years in current role,Years with current supervisor,Years since last promotion,number of employee in company,last salary adjustment percentage,average Travel on work percentage,Work-Life balance,employer Recognition/award,Job satisfaction,Company satisfaction,Label
265,Male,35,Divorced,Undergraduate,Other,1,1,53,Fixed-term,Remote,Senior,1951,43,5995,3,strongly disagree,4,Operations,0,0,0,8096,0.17,45,neutral,disagree,agree,neutral,0
266,Female,32,Married,Undergraduate,Medical,9,5,865,Permanent,Hybrid,Junior,5175,36,5964,2,neutral,3,Finance,3,3,1,1690,9.1,13,disagree,neutral,neutral,agree,0
267,Female,31,Married,Post-graduate,Medical,13,11,1979,Casual/adhoc,Hybrid,Junior,11031,34,4585,3,neutral,8,Management,7,8,4,7876,2.7,36,agree,disagree,neutral,strongly agree,0
268,Female,36,Divorced,Post-graduate,Technical Degree,17,17,83,Contract,Remote,Senior,10096,58,4804,1,disagree,4,Finance,14,8,12,5043,8.2,17,neutral,disagree,neutral,strongly agree,0
269,Male,55,Married,Post-graduate,Medical,24,5,787,Fixed-term,On-Site,Mid,19859,51,0,4,disagree,21,Operations,2,4,1,9097,9.99,23,neutral,disagree,strongly disagree,strongly disagree,1
270,Male,29,Married,Post-graduate,Life Sciences,6,5,1954,Permanent,On-Site,Graduate/intern,5373,34,5516,4,strongly disagree,7,Management,3,2,0,7898,2.11,13,disagree,disagree,strongly disagree,agree,0
271,Male,39,Single,School,Life Sciences,18,7,2014,Contract,Remote,Mid,4108,59,2344,1,strongly agree,8,Finance,7,7,1,3891,2.65,33,neutral,disagree,strongly agree,agree,0
272,Female,34,Married,Doctorate,Life Sciences,1,1,1055,Fixed-term,On-Site,Executive,2220,52,9183,2,disagree,6,Technical,1,0,0,1457,6.63,11,neutral,agree,neutral,neutral,0
273,Male,49,Single,Post-graduate,Life Sciences,23,8,1677,Permanent,Remote,Senior,15379,31,9050,4,disagree,2,Management,7,0,0,8192,9.65,21,neutral,strongly disagree,neutral,strongly agree,0
274,Male,36,Single,Post-graduate,Life Sciences,6,6,85,Casual/adhoc,On-Site,Mid,6499,59,8116,5,neutral,12,Finance,5,3,0,3325,9.16,5,neutral,strongly agree,disagree,agree,0
275,Male,25,Single,Post-graduate,Marketing,6,6,142,Fixed-term,On-Site,Junior,5744,56,1817,4,strongly agree,21,Finance,4,3,0,2560,5.03,35,neutral,disagree,neutral,disagree,1
276,Male,35,Single,Post-graduate,Other,17,8,845,Permanent,Hybrid,Executive,10221,50,10793,5,strongly disagree,0,Management,5,6,1,8837,7.95,44,strongly agree,strongly agree,neutral,agree,0
277,Female,28,Single,Undergraduate,Life Sciences,5,5,395,Casual/adhoc,Hybrid,Executive,3310,51,7143,1,disagree,1,Operations,3,2,0,2828,1.36,35,neutral,strongly agree,agree,strongly agree,0
278,Female,28,Married,Post-graduate,Life Sciences,10,9,1315,Contract,On-Site,Mid,6674,35,5833,1,strongly agree,1,Management,8,5,7,6826,9.77,21,neutral,agree,agree,neutral,0
279,Male,37,Divorced,Undergraduate,Other,19,10,1794,Contract,On-Site,Mid,4071,44,7965,4,strongly agree,8,Management,0,7,4,7581,9.64,13,disagree,disagree,disagree,agree,0
280,Male,36,Married,Doctorate,Life Sciences,5,5,1949,Fixed-term,Hybrid,Senior,2810,50,7850,3,strongly disagree,12,Management,4,2,0,6530,1.64,15,neutral,strongly agree,disagree,neutral,0
281,Male,31,Single,School,Life Sciences,10,6,604,Permanent,Hybrid,Graduate/intern,6582,39,2494,5,strongly agree,2,Finance,5,5,0,3214,2.99,35,strongly agree,disagree,strongly agree,strongly agree,0
282,Female,35,Married,Undergraduate,Other,4,3,1886,Fixed-term,Hybrid,Mid,4788,52,7438,2,strongly agree,5,Management,2,2,0,716,1.0,24,neutral,neutral,disagree,strongly agree,0
283,Male,30,Single,Post-graduate,Technical Degree,3,1,514,Permanent,Remote,Mid,2285,55,260,4,strongly agree,11,Technical,0,0,0,3744,2.72,31,neutral,neutral,agree,neutral,1
284,Female,34,Single,Post-graduate,Medical,9,8,717,Contract,On-Site,Junior,8621,53,6742,2,disagree,11,Operations,7,7,7,6513,8.16,32,strongly agree,neutral,disagree,strongly agree,0
285,Female,38,Single,5,Life Sciences,10,10,79,Fixed-term,Hybrid,Executive,2406,36,4857,4,strongly disagree,8,Finance,3,9,9,1303,3.78,44,neutral,strongly agree,agree,strongly agree,0
286,Male,38,Single,Post-graduate,Life Sciences,6,3,24,Fixed-term,On-Site,Graduate/intern,3944,34,4916,3,strongly agree,1,Management,2,2,1,2665,0.88,35,neutral,neutral,agree,neutral,0
287,Male,36,Single,Doctorate,Life Sciences,10,10,1435,Fixed-term,Remote,Junior,5810,30,8528,3,strongly agree,0,Technical,4,8,1,3274,3.42,19,disagree,agree,agree,agree,0
288,Male,23,Single,School,Medical,5,5,1684,Fixed-term,Remote,Senior,3989,42,249,3,disagree,19,Management,4,2,1,3181,9.81,17,neutral,agree,neutral,disagree,1
289,Male,27,Married,Post-graduate,Life Sciences,6,6,2064,Fixed-term,Hybrid,Senior,6142,50,6603,3,strongly disagree,2,Technical,2,3,0,2730,6.3,37,neutral,strongly agree,disagree,strongly agree,0
290,Male,35,Single,Post-graduate,Life Sciences,6,5,577,Permanent,Remote,Mid,4230,55,8264,1,neutral,8,Finance,4,3,4,3261,4.16,2,neutral,disagree,neutral,strongly agree,0
291,Male,38,Divorced,Undergraduate,Life Sciences,10,5,1940,Contract,On-Site,Mid,4771,47,6584,1,disagree,6,Management,2,3,0,4421,1.67,22,strongly agree,strongly disagree,agree,neutral,0
292,Female,32,Single,Undergraduate,Life Sciences,10,7,727,Permanent,Hybrid,Senior,11159,42,5793,5,strongly disagree,0,HR,7,7,7,8961,9.86,31,neutral,disagree,agree,disagree,0
293,Male,23,Married,School,Medical,5,4,758,Casual/adhoc,On-Site,Mid,2500,50,7928,2,strongly agree,1,Management,3,2,0,6369,8.21,44,strongly agree,disagree,strongly disagree,strongly agree,0
294,Male,32,Divorced,Doctorate,Life Sciences,8,5,859,Fixed-term,On-Site,Graduate/intern,4403,50,5201,4,strongly disagree,3,Finance,2,3,0,7199,2.81,15,disagree,disagree,strongly agree,agree,0
295,Male,55,Married,School,Life Sciences,23,3,1096,Casual/adhoc,Remote,Mid,10976,47,11287,4,strongly disagree,2,HR,2,2,1,7476,0.7,4,neutral,disagree,disagree,neutral,0
296,Male,46,Married,Post-graduate,Life Sciences,26,3,575,Fixed-term,Remote,Executive,17861,34,4624,1,strongly disagree,5,Finance,2,1,0,4178,0.57,3,strongly disagree,strongly disagree,neutral,strongly agree,0
297,Female,60,Married,Post-graduate,Marketing,22,18,573,Casual/adhoc,Remote,Mid,10266,42,8067,4,neutral,6,Technical,13,11,13,5901,1.2,20,strongly agree,neutral,strongly disagree,strongly agree,0
298,Female,29,Single,Post-graduate,Marketing,2,2,1752,Permanent,Remote,Junior,2760,33,4728,1,strongly disagree,18,Finance,2,2,2,4251,5.81,39,neutral,disagree,disagree,disagree,1
299,Female,49,Married,Post-graduate,Technical Degree,7,4,887,Contract,Remote,Graduate/intern,3580,46,7622,5,neutral,6,Management,2,2,0,9011,9.29,50,neutral,agree,strongly disagree,strongly agree,0
300,Male,42,Single,Post-graduate,Life Sciences,22,21,1167,Fixed-term,Hybrid,Junior,13758,32,445,2,strongly agree,16,Operations,9,14,13,2700,4.97,13,disagree,strongly agree,strongly disagree,disagree,1
301,Female,35,Single,Post-graduate,Marketing,10,10,314,Casual/adhoc,On-Site,Junior,8789,46,2127,5,neutral,3,HR,7,8,0,6275,8.43,38,agree,strongly agree,neutral,strongly agree,0
302,Male,37,Divorced,Post-graduate,Medical,13,7,474,Fixed-term,On-Site,Executive,5974,57,8323,3,strongly agree,9,Technical,7,7,6,766,4.46,30,neutral,agree,strongly disagree,strongly agree,0
303,Male,53,Married,Doctorate,Medical,11,4,1689,Fixed-term,On-Site,Graduate/intern,7005,40,6953,3,strongly agree,3,Finance,3,2,1,383,7.09,13,neutral,disagree,agree,agree,0
304,Female,37,Married,Post-graduate,Medical,8,8,1640,Casual/adhoc,On-Site,Graduate/intern,3936,60,8667,3,neutral,1,Management,4,7,7,5940,7.32,5,strongly disagree,strongly disagree,disagree,agree,0
305,Male,50,Single,5,Medical,32,32,1539,Fixed-term,Remote,Graduate/intern,14411,50,7609,5,disagree,1,Management,6,9,13,3665,1.74,11,neutral,neutral,strongly agree,strongly disagree,0
306,Female,54,Married,Doctorate,Technical Degree,16,4,126,Fixed-term,On-Site,Graduate/intern,13549,49,7349,4,agree,0,Operations,3,3,0,4693,3.61,15,strongly disagree,strongly agree,neutral,disagree,0
307,Male,50,Married,Post-graduate,Medical,32,32,644,Casual/adhoc,Hybrid,Graduate/intern,18200,52,5085,2,strongly disagree,8,Technical,5,7,10,1565,6.37,16,neutral,neutral,disagree,agree,0
308,Male,48,Single,Post-graduate,Life Sciences,11,10,1363,Permanent,Hybrid,Executive,7898,50,6153,3,agree,0,Operations,9,8,0,8421,0.71,44,neutral,strongly disagree,strongly agree,agree,0
309,Female,29,Married,Undergraduate,Medical,6,6,690,Contract,On-Site,Mid,5561,55,13763,3,strongly disagree,10,Technical,0,2,1,4834,3.62,22,disagree,strongly agree,neutral,neutral,0
310,Male,51,Divorced,Post-graduate,Life Sciences,33,33,1352,Fixed-term,On-Site,Junior,14026,59,8686,3,strongly disagree,4,HR,9,10,0,6357,5.35,13,neutral,neutral,disagree,agree,0
311,Female,32,Single,Undergraduate,Life Sciences,8,4,1939,Casual/adhoc,Hybrid,Graduate/intern,2432,33,4540,2,strongly agree,16,Technical,1,3,0,7466,9.96,6,neutral,strongly disagree,neutral,strongly agree,1
312,Female,41,Divorced,Doctorate,Life Sciences,10,7,927,Casual/adhoc,Hybrid,Mid,2778,31,1856,3,strongly disagree,21,HR,7,0,1,3772,4.75,45,disagree,neutral,strongly agree,disagree,1
313,Female,54,Married,Post-graduate,Marketing,16,6,303,Permanent,Remote,Mid,5940,49,5788,2,strongly disagree,5,Technical,2,5,0,7482,8.16,31,neutral,disagree,strongly disagree,neutral,0
314,Male,24,Married,Undergraduate,Other,1,1,643,Casual/adhoc,Hybrid,Junior,2127,45,9052,3,neutral,0,Operations,0,0,0,6687,4.32,14,neutral,strongly disagree,disagree,agree,0
315,Male,30,Married,School,Life Sciences,4,2,1479,Permanent,Remote,Executive,5301,57,3692,5,agree,7,Technical,1,2,2,1092,7.96,43,disagree,neutral,neutral,agree,0
316,Male,25,Divorced,Undergraduate,Life Sciences,6,6,369,Contract,Remote,Senior,4000,47,6198,5,neutral,0,Operations,3,5,1,6958,5.95,16,neutral,disagree,strongly disagree,disagree,0
317,Male,50,Married,Post-graduate,Medical,5,3,249,Fixed-term,Remote,Senior,3690,37,6790,2,strongly disagree,2,Operations,2,2,0,2221,8.87,40,disagree,disagree,neutral,strongly agree,0
318,Female,32,Married,Post-graduate,Other,2,2,1234,Contract,Remote,Mid,2743,32,9389,5,strongly agree,5,Finance,2,2,2,2323,4.11,46,neutral,strongly disagree,disagree,agree,0
319,Female,41,Divorced,Post-graduate,Life Sciences,12,6,1392,Casual/adhoc,Remote,Junior,5467,38,8327,2,neutral,6,Technical,2,3,3,4622,6.04,43,disagree,agree,strongly agree,agree,0
320,Male,32,Divorced,Undergraduate,Medical,9,8,195,Permanent,On-Site,Senior,4668,58,6554,5,neutral,8,Management,7,7,0,3288,6.3,33,agree,strongly agree,strongly agree,neutral,0
321,Male,34,Married,Post-graduate,Life Sciences,9,5,1882,Fixed-term,Hybrid,Mid,9713,49,8237,5,disagree,0,HR,3,0,1,3337,4.17,4,neutral,strongly disagree,agree,agree,0
322,Male,34,Married,Doctorate,Life Sciences,9,2,1580,Contract,Remote,Executive,5484,58,6893,2,strongly disagree,3,Technical,2,1,2,4236,1.44,44,disagree,disagree,strongly agree,strongly disagree,0
323,Female,30,Single,Undergraduate,Medical,10,8,1298,Casual/adhoc,Hybrid,Senior,4695,35,9640,4,strongly agree,9,Operations,4,7,1,443,0.94,26,neutral,disagree,neutral,agree,0
324,Male,50,Married,Doctorate,Medical,29,8,1061,Permanent,Hybrid,Mid,19237,39,7972,5,neutral,3,Management,1,7,7,4804,0.17,22,disagree,strongly disagree,neutral,agree,0
325,Male,43,Divorced,Doctorate,Other,21,1,661,Casual/adhoc,Remote,Mid,16627,50,10972,3,neutral,6,HR,0,0,0,4923,8.74,39,disagree,agree,strongly agree,strongly agree,0
326,Female,26,Married,Post-graduate,Life Sciences,1,1,1581,Permanent,On-Site,Graduate/intern,2061,39,6944,4,strongly agree,5,HR,0,0,0,5020,2.36,13,neutral,strongly agree,strongly agree,strongly agree,0
327,Male,52,Married,Doctorate,Medical,11,8,433,Permanent,Remote,Executive,4941,42,4237,2,strongly disagree,18,Technical,2,7,7,3301,2.12,14,disagree,neutral,disagree,disagree,1
328,Male,44,Divorced,Undergraduate,Life Sciences,26,25,1288,Casual/adhoc,On-Site,Graduate/intern,19190,46,7680,4,disagree,3,Finance,9,13,14,5571,7.36,42,disagree,strongly disagree,strongly disagree,neutral,0
329,Male,53,Married,Post-graduate,Marketing,28,2,897,Permanent,Hybrid,Junior,11836,38,6105,1,neutral,0,Management,0,2,2,988,3.2,32,neutral,strongly agree,agree,agree,0
330,Female,50,Single,Post-graduate,Life Sciences,21,5,226,Casual/adhoc,On-Site,Graduate/intern,19926,46,12703,1,disagree,1,Finance,4,4,4,9633,5.06,30,neutral,strongly agree,disagree,neutral,0
331,Male,48,Married,Post-graduate,Life Sciences,29,22,1867,Fixed-term,On-Site,Graduate/intern,19665,53,10119,5,agree,5,Operations,10,9,12,7227,1.63,34,neutral,disagree,disagree,strongly disagree,0
332,Female,33,Married,Doctorate,Life Sciences,2,2,338,Casual/adhoc,On-Site,Senior,2911,38,7968,5,strongly disagree,0,Management,2,2,0,3820,9.6,16,disagree,neutral,agree,strongly agree,0
333,Female,52,Married,Doctorate,Life Sciences,9,5,813,Permanent,Hybrid,Mid,3149,38,9031,3,agree,2,Finance,2,4,1,2983,8.52,27,neutral,strongly disagree,neutral,strongly disagree,0
334,Female,46,Single,Doctorate,Marketing,22,2,38,Contract,Hybrid,Executive,18947,30,5335,4,agree,5,Finance,2,1,2,4312,8.64,18,disagree,disagree,strongly disagree,strongly agree,0
335,Male,34,Divorced,Doctorate,Life Sciences,9,9,1615,Casual/adhoc,On-Site,Graduate/intern,4724,31,5406,1,agree,1,HR,7,2,7,7061,4.07,45,neutral,disagree,agree,neutral,0
336,Female,33,Single,Doctorate,Medical,14,13,1101,Fixed-term,On-Site,Executive,4508,57,5189,5,strongly disagree,16,Finance,7,8,3,2515,7.62,22,neutral,agree,neutral,disagree,1
337,Male,28,Married,Post-graduate,Life Sciences,2,2,1296,Permanent,Remote,Graduate/intern,3867,45,7509,4,strongly disagree,7,Technical,2,2,2,9409,1.44,31,neutral,strongly agree,strongly agree,strongly agree,0
338,Female,41,Married,Undergraduate,Technical Degree,10,10,1085,Permanent,On-Site,Junior,3376,58,7188,5,strongly agree,6,Management,6,8,0,3101,0.09,39,neutral,strongly disagree,neutral,strongly agree,0
339,Male,43,Married,Doctorate,Life Sciences,7,7,1849,Casual/adhoc,Remote,Graduate/intern,5675,30,6924,5,disagree,0,Operations,7,7,7,1838,0.2,12,neutral,strongly disagree,strongly agree,neutral,0
340,Male,35,Single,Post-graduate,Medical,3,3,1564,Fixed-term,On-Site,Senior,2450,39,7804,1,disagree,5,Operations,0,2,1,1464,5.87,19,neutral,strongly disagree,strongly disagree,strongly agree,0
341,Female,31,Divorced,Doctorate,Life Sciences,10,10,1324,Fixed-term,Remote,Mid,9852,47,6991,1,strongly agree,5,Finance,8,6,9,2808,4.55,34,disagree,disagree,neutral,strongly agree,0
342,Female,38,Single,Post-graduate,Medical,4,4,1675,Casual/adhoc,Hybrid,Junior,2440,55,3435,5,strongly agree,3,Management,3,3,3,1024,5.18,4,neutral,agree,disagree,strongly agree,0
343,Female,33,Single,Post-graduate,Life Sciences,6,5,969,Contract,On-Site,Graduate/intern,6949,57,10331,2,agree,6,Technical,0,4,1,251,0.07,8,neutral,neutral,agree,agree,0
344,Male,44,Single,School,Medical,16,2,1496,Fixed-term,On-Site,Executive,10209,37,7278,5,strongly agree,6,Finance,2,2,2,8877,4.23,28,disagree,disagree,neutral,strongly agree,0
345,Female,24,Divorced,Undergraduate,Other,5,4,26,Contract,On-Site,Junior,4011,50,11163,5,neutral,4,Technical,2,3,1,8144,7.18,5,disagree,neutral,neutral,strongly disagree,0
346,Female,41,Single,Undergraduate,Marketing,4,4,248,Casual/adhoc,On-Site,Junior,3140,57,2925,3,disagree,9,Finance,3,2,0,1012,4.43,24,disagree,agree,disagree,strongly disagree,1
347,Female,41,Divorced,Post-graduate,Marketing,10,9,1349,Permanent,Remote,Graduate/intern,4103,40,3967,3,strongly agree,4,Finance,3,7,1,2421,7.32,30,neutral,strongly agree,strongly disagree,strongly agree,0
348,Female,47,Divorced,Post-graduate,Medical,28,22,746,Casual/adhoc,On-Site,Junior,13770,52,6949,3,neutral,12,HR,2,13,11,595,2.33,21,disagree,strongly disagree,neutral,agree,0
349,Female,34,Divorced,Post-graduate,Medical,15,11,1285,Contract,Hybrid,Executive,4444,31,9455,2,neutral,3,Operations,8,10,5,2248,8.13,1,strongly agree,neutral,disagree,neutral,0
350,Female,42,Married,Post-graduate,Life Sciences,17,5,894,Fixed-term,Hybrid,Junior,5231,37,5060,2,neutral,9,Management,3,3,1,656,5.88,44,disagree,disagree,strongly agree,agree,0
351,Female,37,Divorced,Doctorate,Medical,15,5,380,Permanent,On-Site,Executive,13603,56,4983,5,neutral,5,Technical,2,2,0,1652,2.11,4,neutral,neutral,agree,strongly agree,0
352,Female,36,Divorced,Undergraduate,Life Sciences,18,4,2025,Permanent,Hybrid,Graduate/intern,5131,51,8243,3,agree,1,Technical,2,2,0,2220,2.37,26,neutral,strongly agree,disagree,neutral,0
353,Male,43,Married,Post-graduate,Life Sciences,10,10,1971,Contract,On-Site,Mid,7510,37,6874,2,neutral,3,Operations,9,9,0,3185,6.28,24,neutral,strongly disagree,neutral,neutral,0
354,Female,33,Married,Post-graduate,Medical,10,10,1220,Permanent,On-Site,Junior,4539,46,8588,1,agree,4,Operations,7,1,0,3604,8.3,7,disagree,neutral,neutral,neutral,0
355,Male,31,Married,Doctorate,Marketing,10,1,1761,Contract,Hybrid,Mid,8161,44,1589,5,agree,16,Finance,0,0,0,256,4.16,0,neutral,strongly agree,neutral,strongly disagree,1
356,Female,31,Divorced,School,Medical,1,1,1974,Permanent,On-Site,Executive,1129,46,8270,4,neutral,14,Technical,0,0,0,9026,2.58,19,neutral,disagree,strongly agree,disagree,0
357,Male,55,Single,Doctorate,Marketing,24,19,1372,Fixed-term,Hybrid,Junior,13695,57,3150,5,disagree,14,HR,7,8,3,7605,8.67,43,disagree,agree,neutral,neutral,1
358,Female,32,Single,Doctorate,Life Sciences,6,6,2010,Permanent,Remote,Senior,2837,52,5064,4,neutral,0,HR,2,1,4,7262,6.69,22,neutral,disagree,disagree,agree,0
359,Male,37,Divorced,Doctorate,Human Resources,7,3,133,Contract,On-Site,Mid,2073,53,2116,3,neutral,10,Finance,2,2,0,5623,4.48,31,neutral,strongly disagree,strongly disagree,disagree,1
360,Male,30,Married,Post-graduate,Human Resources,12,11,184,Permanent,Remote,Junior,6347,42,4091,4,neutral,3,Management,9,7,4,7643,4.88,10,strongly disagree,disagree,agree,strongly agree,0
361,Female,24,Married,Undergraduate,Life Sciences,1,1,1495,Fixed-term,Hybrid,Mid,2033,48,8718,3,disagree,0,HR,0,0,0,8155,2.04,38,neutral,disagree,disagree,neutral,0
362,Female,26,Divorced,Undergraduate,Life Sciences,5,2,792,Permanent,Remote,Junior,4364,34,10338,1,strongly disagree,7,Operations,2,0,2,4754,6.27,46,neutral,disagree,agree,agree,0
363,Male,34,Single,School,Medical,8,4,31,Permanent,Remote,Graduate/intern,2960,41,2491,4,strongly disagree,22,Operations,2,3,1,6350,3.59,23,neutral,disagree,strongly disagree,disagree,1
364,Female,23,Single,School,Medical,3,3,1735,Fixed-term,Hybrid,Mid,3295,30,8789,5,agree,4,Management,2,2,1,7346,9.96,10,strongly disagree,strongly disagree,disagree,neutral,0
365,Male,33,Divorced,Doctorate,Marketing,6,5,677,Contract,Remote,Senior,7104,52,6525,3,agree,7,Finance,0,2,1,254,4.8,28,neutral,strongly agree,neutral,neutral,0
366,Female,34,Married,Doctorate,Marketing,6,4,216,Fixed-term,Remote,Senior,2231,34,8670,5,disagree,5,Technical,3,2,1,8050,4.86,25,neutral,neutral,neutral,strongly agree,0
367,Female,51,Married,Post-graduate,Technical Degree,15,2,1786,Fixed-term,Hybrid,Executive,13116,37,2983,2,strongly agree,12,Operations,2,2,2,1096,5.66,15,neutral,agree,neutral,strongly agree,0
368,Female,59,Married,Post-graduate,Medical,12,1,10,Fixed-term,Remote,Junior,2670,42,7824,3,strongly disagree,7,Management,0,0,0,4726,9.17,34,disagree,neutral,strongly disagree,agree,0
369,Female,31,Single,5,Life Sciences,9,3,1430,Casual/adhoc,Hybrid,Mid,16422,37,8290,4,agree,8,Management,2,0,1,3005,8.01,19,strongly agree,neutral,disagree,neutral,0
370,Male,26,Divorced,Undergraduate,Medical,8,0,618,Contract,Remote,Executive,4306,54,10189,3,strongly disagree,0,Technical,0,0,0,9469,4.51,45,neutral,agree,neutral,agree,0
371,Male,32,Married,Post-graduate,Life Sciences,10,4,1739,Casual/adhoc,Hybrid,Mid,9610,52,9350,5,disagree,0,Finance,3,2,0,253,7.19,2,strongly disagree,strongly disagree,neutral,neutral,0
372,Male,27,Divorced,Post-graduate,Other,7,7,1619,Permanent,Hybrid,Junior,4066,40,7177,1,disagree,6,Technical,7,7,0,7953,5.86,0,neutral,agree,strongly disagree,strongly agree,0
373,Female,40,Married,Undergraduate,Medical,16,1,1180,Casual/adhoc,Remote,Senior,4422,30,8036,3,strongly agree,0,HR,1,0,0,6581,4.92,46,strongly disagree,strongly disagree,agree,strongly agree,0
374,Female,46,Divorced,Doctorate,Life Sciences,19,16,1080,Fixed-term,Remote,Graduate/intern,4615,42,4607,4,strongly agree,2,Technical,13,7,1,5699,1.92,0,neutral,neutral,strongly disagree,strongly agree,0
375,Female,53,Divorced,Post-graduate,Other,26,14,32,Fixed-term,Remote,Senior,19094,48,10788,2,disagree,9,Finance,13,8,4,1816,4.64,16,disagree,strongly disagree,neutral,strongly disagree,0
376,Female,35,Divorced,Doctorate,Medical,16,16,1014,Casual/adhoc,On-Site,Executive,10388,53,8882,1,agree,2,Technical,10,1,10,886,2.46,1,disagree,strongly agree,neutral,agree,0
377,Female,34,Married,Post-graduate,Marketing,8,8,2035,Contract,On-Site,Graduate/intern,6712,32,3778,2,strongly disagree,0,HR,7,7,1,4468,9.15,28,neutral,agree,neutral,neutral,0
378,Male,39,Single,Undergraduate,Life Sciences,9,8,1322,Fixed-term,On-Site,Executive,4534,53,7991,3,neutral,7,Finance,7,7,1,8196,3.35,19,neutral,strongly agree,neutral,agree,0
379,Male,36,Married,Post-graduate,Medical,2,1,90,Casual/adhoc,Hybrid,Junior,3388,46,4296,5,strongly agree,19,Technical,0,0,0,4372,9.52,5,disagree,neutral,neutral,disagree,1
380,Male,29,Single,Post-graduate,Medical,8,5,1650,Casual/adhoc,Remote,Graduate/intern,5869,34,5952,5,neutral,1,Technical,2,4,1,3867,5.33,7,neutral,agree,neutral,neutral,0
381,Male,36,Divorced,Undergraduate,Medical,7,3,178,Contract,Hybrid,Executive,4941,49,7693,4,agree,9,Technical,2,1,0,8934,6.32,28,neutral,neutral,disagree,strongly agree,0
382,Female,27,Single,Post-graduate,Life Sciences,1,1,933,Casual/adhoc,On-Site,Junior,2318,50,5751,5,strongly agree,1,HR,1,0,0,6094,5.43,47,neutral,strongly agree,neutral,strongly agree,0
383,Male,35,Married,Post-graduate,Life Sciences,10,10,1596,Contract,Remote,Senior,3407,37,4690,1,neutral,4,Finance,9,8,6,7316,1.29,50,disagree,neutral,neutral,strongly agree,0
384,Male,30,Divorced,Doctorate,Life Sciences,10,10,1224,Fixed-term,Hybrid,Junior,3491,55,6273,5,agree,4,Management,7,9,8,8957,3.76,32,disagree,agree,neutral,strongly agree,0
385,Female,45,Single,Post-graduate,Marketing,26,24,1277,Fixed-term,Remote,Mid,18824,60,2204,4,strongly disagree,16,HR,10,11,1,3526,0.99,2,neutral,agree,disagree,strongly disagree,1
386,Female,28,Married,School,Life Sciences,1,1,1175,Casual/adhoc,Hybrid,Junior,2515,43,3624,3,agree,11,HR,1,0,0,3883,6.23,34,disagree,neutral,agree,disagree,1
387,Male,34,Divorced,Doctorate,Life Sciences,14,7,579,Contract,Remote,Junior,2768,33,7639,3,strongly agree,0,Management,3,7,5,5527,4.47,4,neutral,agree,neutral,neutral,0
388,Female,45,Single,Post-graduate,Life Sciences,8,5,2046,Contract,On-Site,Mid,4850,40,9376,5,disagree,5,Technical,3,1,0,7111,7.78,26,neutral,agree,neutral,agree,0
389,Female,51,Single,Doctorate,Medical,23,13,145,Fixed-term,On-Site,Executive,7484,49,8797,2,strongly disagree,9,Management,12,8,12,8152,2.2,43,disagree,neutral,strongly disagree,agree,0
390,Female,46,Married,Undergraduate,Medical,13,9,1821,Casual/adhoc,Remote,Executive,8926,44,4404,3,neutral,16,Technical,7,7,3,3801,1.65,11,agree,strongly agree,disagree,neutral,1
391,Male,42,Married,Post-graduate,Life Sciences,24,20,1547,Fixed-term,Hybrid,Junior,10124,48,8782,5,strongly agree,6,Technical,8,9,13,9361,4.06,19,strongly disagree,agree,agree,strongly agree,0
392,Male,31,Married,Post-graduate,Life Sciences,12,1,587,Casual/adhoc,On-Site,Mid,9824,36,3723,4,disagree,17,Management,0,0,0,2449,9.27,44,neutral,agree,neutral,strongly disagree,1
393,Male,46,Divorced,Doctorate,Technical Degree,12,6,1228,Casual/adhoc,On-Site,Mid,7379,48,10983,5,agree,4,Technical,3,4,1,7111,7.1,19,disagree,agree,strongly agree,neutral,0
394,Female,40,Married,School,Medical,21,20,253,Permanent,On-Site,Senior,19033,57,8321,3,disagree,0,Operations,8,9,9,7155,4.19,8,neutral,agree,neutral,neutral,0
395,Male,36,Single,Post-graduate,Technical Degree,10,8,397,Casual/adhoc,Remote,Executive,4485,48,5030,4,strongly agree,5,Technical,0,7,7,1312,5.17,38,neutral,neutral,disagree,strongly agree,0
396,Male,50,Married,Doctorate,Life Sciences,28,27,569,Permanent,Remote,Graduate/intern,17046,40,6391,5,strongly agree,4,Technical,10,7,15,7065,0.84,3,neutral,strongly agree,neutral,strongly agree,0
397,Male,30,Divorced,Post-graduate,Technical Degree,1,1,1482,Fixed-term,Hybrid,Executive,1274,55,3794,1,disagree,0,Finance,0,0,0,9444,9.85,50,disagree,strongly agree,neutral,strongly agree,0
398,Male,34,Married,Undergraduate,Medical,15,15,1696,Fixed-term,Hybrid,Executive,3986,34,8520,4,agree,0,Management,10,13,4,6804,6.66,18,agree,strongly disagree,strongly agree,agree,0
399,Female,54,Single,Post-graduate,Medical,9,5,1980,Permanent,Hybrid,Senior,4440,34,10807,1,disagree,0,Finance,2,4,1,7533,2.85,37,neutral,agree,strongly disagree,neutral,0
400,Male,57,Divorced,Post-graduate,Marketing,32,1,568,Fixed-term,Remote,Graduate/intern,14118,59,2717,2,strongly agree,1,HR,0,0,0,2611,5.86,26,disagree,agree,strongly agree,strongly agree,0
